Link,Score,Comment

Uber in Boston

Positive Comments
https://www.facebook.com/792239184120151_796020483742021,0.4375,Perfectly sweet and salty!
https://www.facebook.com/792239184120151_796020483742021,0.0,I assume the molasses bacon one is the root beer colored one...does it taste like frozen breakfast on a stick!?
https://www.facebook.com/792239184120151_796020483742021,0.0,Do I get a taste of the mango habanero?
https://www.facebook.com/792239184120151_796020483742021,0.0,You do
https://www.facebook.com/792239184120151_814041858606550,0.0,ben oui voir sur URL toutes les infos sur le sujet https://www.trendster.fr/uberpop/?utm_source=facebook&utm_medium=banner&utm_term=792239184120151&utm_campaign=UberPop
https://www.facebook.com/792239184120151_814041858606550,0.0,What's the flavah flave?
Negative Comments
https://www.facebook.com/792239184120151_814041858606550,0.0,What's the flavah flave?
https://www.facebook.com/792239184120151_814041858606550,0.0,ben oui voir sur URL toutes les infos sur le sujet https://www.trendster.fr/uberpop/?utm_source=facebook&utm_medium=banner&utm_term=792239184120151&utm_campaign=UberPop
https://www.facebook.com/792239184120151_796020483742021,0.0,You do
https://www.facebook.com/792239184120151_796020483742021,0.0,Do I get a taste of the mango habanero?
https://www.facebook.com/792239184120151_796020483742021,0.0,I assume the molasses bacon one is the root beer colored one...does it taste like frozen breakfast on a stick!?
https://www.facebook.com/792239184120151_796020483742021,0.4375,Perfectly sweet and salty!

Uber in New York

Positive Comments
https://www.facebook.com/656537967711957_662027973829623,1.0,jajajajajaj bro no fue bueno ganarles ahora nos tratan de tramposos jajaj :D
https://www.facebook.com/656537967711957_682252071856112,1.0,:D
https://www.facebook.com/718132644911277_750662591658282,1.0,It's a great show!
https://www.facebook.com/241845059346338_260630414134469,1.0,Lindaaaaa imagem!!! Pra compartilhar!!! <3
https://www.facebook.com/656537967711957_682252071856112,0.8,LOL
https://www.facebook.com/718132644911277_738591526198722,0.50390625,we enjoyed the play very much!!!
https://www.facebook.com/656537967711957_662795370419550,0.5,Que Pro Eres Bro (Y) :3
https://www.facebook.com/718132644911277_739190049472203,0.5,Glad you enjoyed it David Kleist
https://www.facebook.com/299948106799861_370241506437187,0.5,i love you
https://www.facebook.com/1511977849052110_1527314010851827,0.5,Love. Uber
https://www.facebook.com/127880968082_10152973267948083,0.5,Orgulho de vcs :)
https://www.facebook.com/299948106799861_371984642929540,0.48828125,This is what I'm interested in!!  The color and the length!
https://www.facebook.com/656537967711957_662017470497340,0.375,NO NO NO TOMASTE MAL LA FOTO YO TENGO LA ORIGINAL XD
https://www.facebook.com/299948106799861_374552929339378,0.3125,so hot!
https://www.facebook.com/303319959825086_333975283426220,0.3125,I need my hair did!  How much to come to denver???!!
https://www.facebook.com/656537967711957_682252071856112,0.25,hahahah para que nadie se quejara es que en ese cw ellos creerian que me nos iban a ganarr y yo dije que no tenia refle basic y yo dije que si podia equipar msr y ellos dijeron ok pero ganamos ;3
https://www.facebook.com/718132644911277_738591526198722,0.25,"Thanks for coming, Lori Kleist. Please tell your friends!"
https://www.facebook.com/718132644911277_739190049472203,0.2375,really was well acted. and I learned more about the past. My son and I enjoyed the play alot.
https://www.facebook.com/1511977849052110_1511978222385406,0.2,"Gud am I had an innova car , just want to ask if still u nid it pa for rental just get in touch w/ me at 09063197421 thank you so much Jenny Rabandaban"
https://www.facebook.com/299948106799861_370307453097259,0.125,crazy but beautiful lady
https://www.facebook.com/299948106799861_375665682561436,0.1,Ahh okay... well that sucks as I don't do Instagram.
https://www.facebook.com/582998101763387_764712300258632,0.04828125,"I received a curb strap cover from a  friend and Fellow driver..Ann Katona, that came from Uber-Reiter.  I loved how it weighed less and was less bulky than my gel cover.  Thank you!  My driving horse Sami loves high quality equipment, as his tolerance is short lived! !!    I will be checking out your other products!!"
https://www.facebook.com/582998101763387_815017021894826,0.04828125,"I received a curb strap cover from a  friend and Fellow driver..Ann Katona, that came from Uber-Reiter.  I loved how it weighed less and was less bulky than my gel cover.  Thank you!  My driving horse Sami loves high quality equipment, as his tolerance is short lived! !!    I will be checking out your other products!!"
https://www.facebook.com/656537967711957_661962300502857,0.0,nc
https://www.facebook.com/656537967711957_661962300502857,0.0,ty
https://www.facebook.com/656537967711957_662017470497340,0.0,DEJALO QUE SE VEA JAJAJAJA ES NOOB!
https://www.facebook.com/656537967711957_662017470497340,0.0,EL BRO
https://www.facebook.com/656537967711957_662795370419550,0.0,jeuujejeu
https://www.facebook.com/656537967711957_662795370419550,0.0,gracias
https://www.facebook.com/656537967711957_662795370419550,0.0,-silver
https://www.facebook.com/656537967711957_663826913649729,0.0,DE Q ABLAS?
https://www.facebook.com/656537967711957_663826913649729,0.0,Y TU SOLO PARAS DE ENVIDIOSO              -SILVER
https://www.facebook.com/656537967711957_667460266619727,0.0,nc no
https://www.facebook.com/656537967711957_667460266619727,0.0,q paso bros q paso con el clan
https://www.facebook.com/656537967711957_670759566289797,0.0,seee xq uber xqqqqq
https://www.facebook.com/656537967711957_673262782706142,0.0,el unico cambio que no me gusto es que no se pueda cambiar rapido las armas \: deai todo bien
https://www.facebook.com/656537967711957_682252071856112,0.0,esto si es cw
https://www.facebook.com/656537967711957_682252071856112,0.0,es msr
https://www.facebook.com/656537967711957_682252071856112,0.0,para que la tapastes?
https://www.facebook.com/656537967711957_682252071856112,0.0,una ves
https://www.facebook.com/656537967711957_835549203144165,0.0,OLA
https://www.facebook.com/582998101763387_825542334175628,0.0,Iowa Valley Carriage and Driving Essentials!
https://www.facebook.com/299948106799861_368485029946168,0.0,whats this ?
https://www.facebook.com/299948106799861_375665682561436,0.0,Yes you must follow all the rules and guidelines
https://www.facebook.com/299948106799861_375665682561436,0.0,It through Instagram
https://www.facebook.com/299948106799861_375665682561436,0.0,how do we sign up?
https://www.facebook.com/299948106799861_380170532110951,0.0,OMG! Im crossing my fingers! you guys rockz!
https://www.facebook.com/241845059346338_260630414134469,0.0,Q lindo
https://www.facebook.com/241845059346338_262549647275879,0.0,Nossa q delicia!!
https://www.facebook.com/241845059346338_262549647275879,0.0,Denise Lima
Negative Comments
https://www.facebook.com/127880968082_10153222366313083,0.0,"Jackciny é o Rio Content Market no Hotel Windsor Barra, fizemos a abertura. O evento acaba amanha. Venha neste sábado as 18h na abertura da exposição Rio: primeiras poses no IMS, com projeto multimídia nosso. abs!"
https://www.facebook.com/127880968082_10153222366313083,0.0,"onde e isso,como podemos prestigiar?"
https://www.facebook.com/127880968082_10153222366313083,0.0,Vou sim com o vanderson bjs grande a todos.
https://www.facebook.com/127880968082_10153221820968083,0.0,show!!!!!!
https://www.facebook.com/127880968082_10153159015238083,0.0,Thiago Pozes
https://www.facebook.com/127880968082_10153154564193083,0.0,"A festa NEON será na sede da SuperUber no Rio - Rua Silvino Montenegro, 78, Gamboa!"
https://www.facebook.com/127880968082_10153145335733083,0.0,"A festa NEON será na sede da SuperUber no Rio - Rua Silvino Montenegro, 78, Gamboa!"
https://www.facebook.com/127880968082_10152973267948083,0.0,Photo by Flanders DC
https://www.facebook.com/127880968082_10152973186618083,0.0,Photo by Flanders DC
https://www.facebook.com/303319959825086_330815977075484,0.0,"Hamptons, of course!"
https://www.facebook.com/241845059346338_330888890441954,0.0,"ficou uma delicia e bem atrativo, tanto que saiu bastante."
https://www.facebook.com/241845059346338_277156132481897,0.0,Ficou muito bom pesoas ge vou fazer lazer fazer compra
https://www.facebook.com/241845059346338_270250956505748,0.0,"Obrigada, estamos te esperando aqui Beijos"
https://www.facebook.com/241845059346338_262549647275879,0.0,Denise Lima
https://www.facebook.com/241845059346338_262549647275879,0.0,Nossa q delicia!!
https://www.facebook.com/241845059346338_260630414134469,0.0,Q lindo
https://www.facebook.com/299948106799861_380170532110951,0.0,OMG! Im crossing my fingers! you guys rockz!
https://www.facebook.com/299948106799861_375665682561436,0.0,how do we sign up?
https://www.facebook.com/299948106799861_375665682561436,0.0,It through Instagram
https://www.facebook.com/299948106799861_375665682561436,0.0,Yes you must follow all the rules and guidelines
https://www.facebook.com/299948106799861_368485029946168,0.0,whats this ?
https://www.facebook.com/582998101763387_825542334175628,0.0,Iowa Valley Carriage and Driving Essentials!
https://www.facebook.com/656537967711957_835549203144165,0.0,OLA
https://www.facebook.com/656537967711957_682252071856112,0.0,una ves
https://www.facebook.com/656537967711957_682252071856112,0.0,para que la tapastes?
https://www.facebook.com/656537967711957_682252071856112,0.0,es msr
https://www.facebook.com/656537967711957_682252071856112,0.0,esto si es cw
https://www.facebook.com/656537967711957_673262782706142,0.0,el unico cambio que no me gusto es que no se pueda cambiar rapido las armas \: deai todo bien
https://www.facebook.com/656537967711957_670759566289797,0.0,seee xq uber xqqqqq
https://www.facebook.com/656537967711957_667460266619727,0.0,q paso bros q paso con el clan
https://www.facebook.com/656537967711957_667460266619727,0.0,nc no
https://www.facebook.com/656537967711957_663826913649729,0.0,Y TU SOLO PARAS DE ENVIDIOSO              -SILVER
https://www.facebook.com/656537967711957_663826913649729,0.0,DE Q ABLAS?
https://www.facebook.com/656537967711957_662795370419550,0.0,-silver
https://www.facebook.com/656537967711957_662795370419550,0.0,gracias
https://www.facebook.com/656537967711957_662795370419550,0.0,jeuujejeu
https://www.facebook.com/656537967711957_662017470497340,0.0,EL BRO
https://www.facebook.com/656537967711957_662017470497340,0.0,DEJALO QUE SE VEA JAJAJAJA ES NOOB!
https://www.facebook.com/656537967711957_661962300502857,0.0,ty
https://www.facebook.com/656537967711957_661962300502857,0.0,nc
https://www.facebook.com/582998101763387_815017021894826,0.04828125,"I received a curb strap cover from a  friend and Fellow driver..Ann Katona, that came from Uber-Reiter.  I loved how it weighed less and was less bulky than my gel cover.  Thank you!  My driving horse Sami loves high quality equipment, as his tolerance is short lived! !!    I will be checking out your other products!!"
