timeStamp,language,country,city,coordinates,favorites,retweets,user,user desc,user location,text,age,sentiment,sign
2015-03-09 16:12:22,en,United States,"Boston, MA","[-71.06893065, 42.33992239]",1,0,LucasTaxter,"Sergeant, Community Service Office, Not Monitored 24/7, Call 911 for Emergency Police Response",Boston Police Dept. District 4,"3/9 1:20am 272 Marlborough #BackBay - car alarm invest  --&gt; BEMV, tools &amp; iPhone stolen. No forced entry.",13-17,0.15000000000000002
2015-03-09 16:03:49,en,United States,"Boston, MA","[-71.0172958, 42.367523]",0,0,LazyR1co,"7-day a week Twitch streamer http://t.co/KyqUPWUcvJ
http://t.co/Udrbq1UDgu",,@Jenownzz @ThunderCastTV least you didn't get cuffed. That happens to someone at PAX South. Uber'd into a stolen car.,18-25,-0.3
2015-03-09 15:53:50,en,United States,"Danvers, MA","[-70.9701308, 42.59013088]",0,0,Alanna_Martino,"And if it takes you by surprise, even better Boston,Ma RIPMichael",,Sitting in my car with the windows down refusing to go inside the school for break because it's too nice out ,13-17,0.2222222222222222
2015-03-09 14:37:42,en,United States,"Watertown, MA","[-71.17777395, 42.36937351]",3,0,Asyabag14,Rest easy grandma 4-9-14,"Watertown, Mass",could prob save up enough for a car If I didn't get coffee every single morning,13-17,-0.03571428571428571
2015-03-09 13:15:26,en,United States,"Framingham, MA","[-71.43773971, 42.30023956]",1,0,Mhendersonxo,"Raise your words, not your voice. It is rain that grows flowers, not thunder","billerica ma , FSU","@peacock_nick @snapn2aslimjim stfu I just saw this, I drove after ur drunk ass in andys car the entire way ",18-25,-0.25
2015-03-09 12:22:57,en,United States,"Peabody, MA","[-70.96549897, 42.52514346]",1,0,TylerBettencour,love to party,,When you try to open the elevator with your car keys you know it's gunna be long week #GoodMorning,13-17,-0.025
2015-03-09 12:17:21,en,United States,"Woburn, MA","[-71.1453522, 42.47754931]",1,1,the_ss_equinox,Lets get strange.,,"@Kasshole75 but what if I'm about to get mugged ? the gecko might offer him 15% or more on car insurance, while a bear could eat the mugger",13-17,0.5
2015-03-09 11:07:58,en,United States,"Medford, MA","[-71.08637372, 42.41935255]",4,0,StuffMaddieSays,Masshole. Zeta Tau Alpha. URI Alum. Whiskey enthusiast and bacon lover.,Boston MA,I'm judging you so hard if you have a Confederate flag on your car. Like what are you doing? Why are you up in the North?,13-17,-0.2916666666666667
2015-03-09 10:01:22,en,United States,"Everett, MA","[-71.04823253, 42.40266689]",0,0,Ahh_Milli,"Boston living, FL girl at heart ",,Why does this uber driver have a guitar in his car LOL,13-17,0.8
2015-03-09 05:50:17,en,United States,"Boston, MA","[-71.0603, 42.3583]",0,0,topix_boston,Boston News from @Topix,"Boston, MA",Cops seek car that was stolen with tot inside http://t.co/aObjMrNuXm,18-25,0.0
2015-03-09 05:45:38,en,United States,"Boston, MA","[-71.06079819, 42.32069305]",0,0,nottstaciesmom,"It's me, Todd Kranes.",NH/ME ,Can't sleep cause I'm convinced my car was fucked with. I'm not a city girl.,13-17,-0.6
2015-03-09 03:59:37,en,United States,"Chelsea, MA","[-71.03085752, 42.39091697]",0,1,Misha26_,"If I'm wrong about God I wasted my life, if you're wrong about God you wasted youre eternity",Dei Gratia,"When your song comes on in the car 
https://t.co/pgdPtmrqEJ @_StephenMedina @KarenMeli7908 you guys with uptown funk in the car ",26-35,0.0
2015-03-09 02:39:13,en,United States,"Boston, MA","[-71.07720195, 42.35318338]",0,0,TopherJames5,"I like Quest Bars, South America, and the 1986 Boston Celtics in no particular order","Boston, MA",@xmasape this guy gets paid millions to write about the Acela quiet car and hotel chain coffee http://t.co/oUFCmibrhz,26-35,0.0
2015-03-09 02:38:35,en,United States,"Stoneham, MA","[-71.0958803, 42.4861395]",1,0,_K_ONEILL,Family First. Boston. 19. Riv University '17,,To buy a car or a fuck load of alcohol..,18-25,-0.4
2015-03-09 02:06:18,en,United States,"Quincy, MA","[-70.98100892, 42.25051841]",0,0,KenzieGall,instagram- _mackenziegallagher_ snapchat- kenzieann6601,,@RoverPorn: The perfect color for your girl  http://t.co/LPoMXKxM31 car goals,18-25,1.0
2015-03-09 01:46:19,en,United States,"Saugus, MA","[-71.01710415, 42.48769451]",0,0,Lyrixofthemind,"Welcome to the Lyrically biased mind of a HipHop genius, FOY's number 1 affiliate","Malden, MA","Yes my car is loud, now stop looking at me",13-17,0.1
2015-03-09 01:45:54,en,United States,"Saugus, MA","[-71.01684591, 42.48720618]",0,0,Lyrixofthemind,"Welcome to the Lyrically biased mind of a HipHop genius, FOY's number 1 affiliate","Malden, MA",I hate when i pull up somewhere and white people look at me like my car just yelled out crackers or something,13-17,-0.4
2015-03-09 01:09:52,en,United States,"Weymouth, MA","[-70.93692672, 42.22916062]",3,0,magpie728,do what makes you happy,,Just saw a tiny little dog get hit by a car and now I'm so so sad,13-17,-0.22916666666666666
2015-03-09 01:06:43,en,United States,"Boston, MA","[-71.0603, 42.3583]",0,0,topix_boston,Boston News from @Topix,"Boston, MA","Child, 4, Safe After Car Stolen in East Boston http://t.co/O6CDpZMP0M",18-25,0.5
2015-03-09 00:37:43,en,United States,"Weston, MA","[-71.26969679, 42.38773889]",0,0,cmartin0820,AHS '14 | WSU '18,,@kenzieeCorrigan you should like def bring your car up ,13-17,0.0
2015-03-09 00:23:06,en,United States,"Lynn, MA","[-70.92896121, 42.47377233]",0,0,oscartellem,,"Boston, Ma",Need one more 1k  till I cop my 2nd car.,18-25,0.25
2015-03-09 00:14:51,en,United States,"Burlington, MA","[-71.21717867, 42.48332942]",3,0,flynnjoe,,,My car clock finally says the right time #DaylightSavingTime,13-17,0.14285714285714285
2015-03-08 23:36:35,en,United States,"Boston, MA","[-71.10695531, 42.34779539]",0,0,cameroneforyou,,,My mom texts the family group chat when were all in the same fucking car,13-17,-0.3
2015-03-08 23:29:05,en,United States,"Waltham, MA","[-71.24597569, 42.3729912]",2,0,Kianaxbabe,Bridgewater State University '18,Massachusetts,I promise my next car is gona be a Subaru wrx,13-17,0.0
